###############################################################
Date		Name	Module			Description
###############################################################
2018-05-11      James   QKD State               QKD status changed to reported by SNMP
2018-05-14      James   Alarm                   Alarm's Info level is filtered out
2018-05-15      James   KeyRate                 Solve KeyRate to store database duplication.
2018-05-15      James   Style                   Modified some page styles as required.
2018-05-17      James   Log                     Add Log Management and Log File Local Storage.
2018-05-18      James   MySQL                   Change the database table engine of alarm, keyrate, keybuffer to myisam.
2018-05-18      James   User                    Add login interceptor to increase different user logins with different access rights.
2018-05-21      James   User                    Add delete user function.
2018-05-21      James   Version                 Change the version.
2018-05-22      James   KeyBuffer               Change the keybuffer to real-time one-second report graphs and history all line charts.
2018-05-25      James   Keybuffer and KeyRate   Remove the Keybuffer and KeyRate from the SNMPTrap module.
2018-05-25      James   Redis                   Redis caching is added for KeyRate and KeyBuffer.
2018-05-31      James   Login                   Login to enter the user name and password and press enter to log in directly.
2018-05-31      James   Node                    Fixed a problem with form validation errors but still adding nodes.
2018-05-31      James   NetElement              Fixed a problem with form validation errors but still adding netElements.
2018-06-01      James   Menu                    Solved the order of the left menu bar.
2018-06-04      James   HistoryAlarm            HistoryAlarm are not filtered and saved.
2018-06-04      James   RTAlarm                 RTAlarm filter before saving.
2018-06-05      James   QRNGTN                  Add the TN display of the QRNG version on the Top Node Topology and TN Topology Pages.
2018-06-05      James   addNode                 Solve the problem of adding nodes and failing IP authentication will also add success.
2018-06-05      James   NERelation              The field link_type was added to the database, and the linkType attribute was added to the NERelation class.
2018-06-06      James   NetElement              Add NEs and Editing NEs have Added IP and Name Do Not Repeat Authentication.
2018-06-07      James   Node                    Add Nodes have Added IP and Name Do Not Repeat Authentication.
2018-06-07      James   QNCRate                 Add QNCRate's real-time curve and history line display.
2018-06-11      James   Version                 Version for QKD NMS_Server_18.05.R04.S01.
2018-06-28      James   QNCRate                 Add QNCRate from SNMPTrap.
2018-06-28      James   Alarm                   Add QNCAlarm from SNMPTrap.
2018-06-28      James   NERelation              Add QTNRelation from SNMPGet.
2018-07-03      James   SnmpTrap                Some logic judgment code parts have been modified.
2018-07-03      James   NMS                     Uniformly modified package name, project name, path.
2018-07-04      James   Module                  Created a new module named idqqtec-dess.
2018-07-06      James   SSD                     Added method for obtaining basic memory information of SSD.
2018-07-06      James   Mysql                   Added method to get basic information of Mysql.
2018-07-09      James   SSD                     Added a pop-up alarm when the remaining size of the SSD disk capacity is less than 20%.
2018-07-09      James   Topology                Added topology on the index page.
2018-07-10      James   Alarms                  Added alarm module.
2018-07-10      James   Others                  Added others modules that contain Security Memory.
2018-07-11      James   Debug                   Modified some bugs.
2018-08-24      James   log                     Change logback to log4j.
2018-08-27      James   DataBase                Added some performance configuration of Druid connection pool.
2018-09-13      James   TN_deatils              Modified some of the page's display
2018-09-14      James   Time                    Jsp page acquisition time changed to common server acquisition.


